Company Name,Rating,Good Reviews,Bad Reviews,Salaries
TCS,3.3,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10L
Accenture,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.6L
Wipro,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.8L
Cognizant,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6L
Capgemini,3.7,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.8L
HDFC Bank,3.8,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1.5L
Infosys,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.2L
ICICI Bank,4.0,"Job Security, Promotions / Appraisal, Skill Development / Learning",,1.5L
HCLTech,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.8L
Tech Mahindra,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.8L
Genpact,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.3L
TP,3.8,Job Security,,97.6k
Jio,4.4,"Job Security, Skill Development / Learning, Company Culture",,62.3k
Axis Bank,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",1L
Concentrix Corporation,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.3L
Amazon,3.9,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,1.5L
Reliance Retail,3.9,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,77.1k
iEnergizer,4.6,"Company Culture, Job Security, Salary & Benefits",,24.4k
LTIMindtree,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.9L
IBM,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2.2L
HDB Financial Services,3.9,"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",49.6k
Larsen & Toubro Limited,3.9,"Job Security, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Work Life Balance",75k
Deloitte,3.7,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.6L
Kotak Mahindra Bank,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",87.1k
Reliance Industries,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,73.2k
Vodafone Idea,3.9,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,49.7k
Bharti Airtel,3.8,,Promotions / Appraisal,49.4k
BYJU'S,3.2,,"Job Security, Company Culture, Work Life Balance",53.1k
WNS,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",70.2k
IDFC FIRST Bank,3.9,"Salary & Benefits, Skill Development / Learning",,49.4k
Ernst & Young,3.4,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",1.4L
Tata Motors,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,42.8k
IndusInd Bank,3.4,,"Promotions / Appraisal, Company Culture, Work Satisfaction",51.5k
AU Small Finance Bank,3.9,"Skill Development / Learning, Salary & Benefits",,29.5k
Muthoot FinCorp,4.6,"Company Culture, Skill Development / Learning, Work Life Balance",,9.2k
Bajaj Finserv,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",,30.7k
